company_id,project_id,name,phone,street,city,state,zip,country,date_created
80153,47945,3QC,,,,,,,10/28/2025
26347,47945,Balfour Beatty,,,,,,,10/17/2019
9004,47945,CriticalArc,,,,,,,08/28/2016
14565,47945,Field Verified,,,,,,,10/13/2017
55084,47945,"Kitchell CEM, Inc.",,,,,,,09/28/2023
80155,47945,Parsons-Vanir,,,,,,,10/28/2025
